Fecha,Hora,Precio marginal local ($/MWh)
17/04/2017,11,1988.88
17/04/2017,12,2206.39
17/04/2017,13,4243.67
17/04/2017,14,3260.94
17/04/2017,15,2255.76
17/04/2017,16,2082.15
17/04/2017,17,2214.49
17/04/2017,18,1863.31
17/04/2017,19,2164.43
17/04/2017,20,1839.06
17/04/2017,21,1880.44
17/04/2017,22,1849.18
17/04/2017,23,1725.93
17/04/2017,24,1194.84
18/04/2017,1,1477.47
18/04/2017,2,1479.5
18/04/2017,3,1509.23
18/04/2017,4,1475.42
18/04/2017,5,1141.97
18/04/2017,6,1127.01
18/04/2017,7,1255.37
18/04/2017,8,1489.56
18/04/2017,9,1518.5
18/04/2017,10,1601.81
18/04/2017,11,1541
18/04/2017,12,1739.73
18/04/2017,13,1834.08
18/04/2017,14,1870.15
18/04/2017,15,1793.93
18/04/2017,16,1813.75
18/04/2017,17,1807.25
18/04/2017,18,1790.3
18/04/2017,19,1796.77
18/04/2017,20,1766.58
18/04/2017,21,1594.33
18/04/2017,22,1624.82
18/04/2017,23,1790.99
18/04/2017,24,1519.72
19/04/2017,1,1154.65
19/04/2017,2,1525.83
19/04/2017,3,1082.93
19/04/2017,4,998.46
19/04/2017,5,940.56
19/04/2017,6,989.54
19/04/2017,7,1607.83
19/04/2017,8,1712.39
19/04/2017,9,1580.41
19/04/2017,10,1515.67
19/04/2017,11,1815.56
19/04/2017,12,2193.8
19/04/2017,13,2206.44
19/04/2017,14,1824.25
19/04/2017,15,2131.77
19/04/2017,16,1841.84
19/04/2017,17,1842.91
19/04/2017,18,1623.96
19/04/2017,19,1847.62
19/04/2017,20,1987.92
19/04/2017,21,1544.04
19/04/2017,22,1505.11
19/04/2017,23,1734.37
19/04/2017,24,1536.53
20/04/2017,1,1128.71
20/04/2017,2,1035.64
20/04/2017,3,918.95
20/04/2017,4,896.29
20/04/2017,5,901.87
20/04/2017,6,910.04
20/04/2017,7,1050.97
20/04/2017,8,1148.66
20/04/2017,9,1132.64
20/04/2017,10,1200.88
20/04/2017,11,1643.71
20/04/2017,12,1968.43
20/04/2017,13,2081.69
20/04/2017,14,1824.46
20/04/2017,15,2258.46
20/04/2017,16,2009.09
20/04/2017,17,1965.92
20/04/2017,18,1633.35
20/04/2017,19,1575.77
20/04/2017,20,1890.32
20/04/2017,21,1584.9
20/04/2017,22,1588.09
20/04/2017,23,1611.09
20/04/2017,24,1585.01
21/04/2017,1,1494.38
21/04/2017,2,1604.7
21/04/2017,3,1506.33
21/04/2017,4,1216.89
21/04/2017,5,1031.58
21/04/2017,6,1189.08
21/04/2017,7,1459.73
21/04/2017,8,1733.69
21/04/2017,9,1528.45
21/04/2017,10,1591.66
21/04/2017,11,1483.65
21/04/2017,12,1533.05
21/04/2017,13,1617.91
21/04/2017,14,2132.22
21/04/2017,15,1787.27
21/04/2017,16,3198.3
21/04/2017,17,2108.58
21/04/2017,18,1798.12
21/04/2017,19,1786.98
21/04/2017,20,1623.92
21/04/2017,21,1544.59
21/04/2017,22,1753.39
21/04/2017,23,1790.1
21/04/2017,24,1504.54
22/04/2017,1,1464.75
22/04/2017,2,1404.39
22/04/2017,3,1558.05
22/04/2017,4,1552.02
22/04/2017,5,1601.9
22/04/2017,6,1606.57
22/04/2017,7,1933.09
22/04/2017,8,1692.62
22/04/2017,9,1591.54
22/04/2017,10,1486.09
22/04/2017,11,1642.17
22/04/2017,12,1513.46
22/04/2017,13,1856.33
22/04/2017,14,1613.04
22/04/2017,15,1602.66
22/04/2017,16,1665.76
22/04/2017,17,1586.11
22/04/2017,18,1603.84
22/04/2017,19,1522.91
22/04/2017,20,1630.72
22/04/2017,21,2619.12
22/04/2017,22,2322.25
22/04/2017,23,1635.35
22/04/2017,24,1368.72
23/04/2017,1,1537.64
23/04/2017,2,1188.78
23/04/2017,3,995.33
23/04/2017,4,906.58
23/04/2017,5,867.2
23/04/2017,6,845.22
23/04/2017,7,705.65
23/04/2017,8,647.08
23/04/2017,9,668.51
23/04/2017,10,853.48
23/04/2017,11,884.43
23/04/2017,12,872.32
23/04/2017,13,896.56
23/04/2017,14,880.03
23/04/2017,15,869.95
23/04/2017,16,910.14
23/04/2017,17,963.58
23/04/2017,18,927.7
23/04/2017,19,946.6
23/04/2017,20,934.02
23/04/2017,21,1036.88
23/04/2017,22,1495.01
23/04/2017,23,1060.48
23/04/2017,24,977.33
24/04/2017,1,896.46
24/04/2017,2,844.49
24/04/2017,3,795.87
24/04/2017,4,698.15
24/04/2017,5,736.84
24/04/2017,6,720.54
24/04/2017,7,911.62
24/04/2017,8,997.15
24/04/2017,9,1067.97
24/04/2017,10,1497.15
24/04/2017,11,1583.29
24/04/2017,12,1360.99
24/04/2017,13,1500.25
24/04/2017,14,1552.7
24/04/2017,15,1505.83
24/04/2017,16,1483.03
24/04/2017,17,1493.92
24/04/2017,18,1455.83
24/04/2017,19,1329.34
24/04/2017,20,1510.8
24/04/2017,21,1366
24/04/2017,22,1508.85
24/04/2017,23,1497.91
24/04/2017,24,1215.02
25/04/2017,1,1569.97
25/04/2017,2,1501.37
25/04/2017,3,1371.4
25/04/2017,4,1088.96
25/04/2017,5,1077.4
25/04/2017,6,1211.05
25/04/2017,7,1483.92
25/04/2017,8,1742.4
25/04/2017,9,1589.08
25/04/2017,10,1434.96
25/04/2017,11,1298.71
25/04/2017,12,1402.13
25/04/2017,13,1370.81
25/04/2017,14,1561.01
25/04/2017,15,1569.4
25/04/2017,16,1865.33
