h,Tilt angle β,δ (declinación),cos(θ) formula 1,cos(θ) formula 2,A,Latitude φ,cos(δ),sin(δ),cos(β),sin(β),cos(ω),sin(ω),cos(y),sin(y),cos(φ),sin(φ)
222,0,15.36341658,-0.250014979,0.993573916,0,19.32361,0.964264766,0.264940487,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
223,0,15.05618303,-0.24513208,0.993183349,0,19.32361,0.965671569,0.259766087,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
224,0,14.744488,-0.240171073,0.992757928,0,19.32361,0.967070428,0.254508915,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
225,0,14.42842387,-0.235133268,0.992296543,0,19.32361,0.968459669,0.249170361,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
226,0,14.10808428,-0.230020016,0.991798106,0,19.32361,0.969837632,0.243751856,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
227,0,13.78356417,-0.224832703,0.991261552,0,19.32361,0.971202666,0.238254869,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
228,0,13.45495968,-0.219572755,0.990685842,0,19.32361,0.972553132,0.23268091,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
229,0,13.1223682,-0.214241634,0.990069966,0,19.32361,0.973887409,0.227031529,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
230,0,12.78588828,-0.20884084,0.98941294,0,19.32361,0.975203891,0.221308316,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
231,0,12.44561963,-0.203371909,0.988713815,0,19.32361,0.976500994,0.215512898,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
232,0,12.10166307,-0.197836415,0.987971673,0,19.32361,0.977777152,0.209646944,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
233,0,11.75412053,-0.19223597,0.987185629,0,19.32361,0.979030825,0.20371216,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
234,0,11.40309498,-0.186572219,0.986354839,0,19.32361,0.980260496,0.197710292,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
235,0,11.04869045,-0.180846844,0.985478493,0,19.32361,0.981464678,0.191643122,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
236,0,10.69101196,-0.175061565,0.984555823,0,19.32361,0.98264191,0.18551247,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
237,0,10.33016549,-0.169218132,0.9835861,0,19.32361,0.983790765,0.179320193,1,0,0.995561965,0.094108313,1,0,0.943664676,0.330903279
